tax_reg_ident,name,employees,region_code,primary_activity_category_code
810034882,SANDNES ELEKTRISKE FORRETNING AS,11,1108,43.210
810059672,AASEN & FARSTAD AS,,1506,68.209
810093382,BRIS EIENDOM AS,,4204,68.209
810094532,AGDERPOSTEN MEDIER AS,,4203,68.209
810098252,ODD FELLOW HUSET BODØ AS,,1804,68.209
810105372,SØRLANDSPORTEN EIENDOM AS,,4201,68.209
810130822,ALSTRA AS,,4201,46.739
810182482,FAGMØBLER HERMAN ANDERSEN AS,8,4202,47.591
810202572,BORTIGARD AS,,3903,41.200
810215542,AS SUNBYGG,,3216,41.200
810274042,ARNESEN EIENDOM AS,,5501,68.209
810324562,SERVI GROUP AS,,3218,46.693
810359862,AUTOBJØRN A/S,13,0301,45.200
810363142,BJØRNSTJERNE BJØRNSONSGATE AS,,0301,68.209
810392312,METALLCO AS,46,0301,38.320
810393572,HALWA AS,,4202,68.209
810412402,STOREBRAND TILLERTORGET AS,,1566,68.209
810431172,AS SCAN-WOOD,,3416,43.120
810432322,BAUGE EIENDOM AS,,4602,16.232
810438452,BECKMANN AS,29,4204,46.492
810441682,FIDUCIA NORWAY AS,,4003,68.320
810463902,E BERENTSEN AS,,1124,68.209
810483822,FRIHOLMEN AS,,4203,68.209
810547472,BRØDR BERNTSEN AS,30,3305,25.110
810556722,B & G EIENDOM AS,,1101,68.209
810574232,AS TROMSØ AUTOMOBILCOMPANI - AS TACO,9,5501,68.209
810582332,SOM EIENDOM AS,,4003,68.209
810584742,SAUDA AUTO AS,,1135,45.200
810684402,BLOKKEN SKIPSVERFT EIENDOM AS,,1870,68.209
810703342,OCTOPUS EIENDOM AS,,0301,68.209
810723262,MARIDALSVEIEN 144 AS,,0301,68.209
810733772,"BORGE, EIENDOM AS",,3905,68.209
810855762,AS CHR BRUN TORVET,,4601,68.209
810859482,BRUNSTAD AS,47,1528,31.090
810873272,TEKNISK SERVICESENTER AS,,1121,68.209
810876832,FINN BRYNILDSRUD & SØNNER AS,,3103,25.620
810894342,ODVAR BRÅTHEN RØRLEGGERFORRETNING AS,,3415,43.221
810902612,Bugge & Amundsen AS,,3905,82.990
810926252,GRØNT MASKIN AS,21,3103,46.610
810969652,DDB AS,,5001,66.190
810985852,BÅTSERVICE SIGHTSEEING AS,,0301,77.340
811012572,AS CENTRALVERKSTEDET,,5029,45.200
811014982,JÆREN KRISTNE SENTER,,1108,94.910
811025542,CHEMI TEKNIK AS,7,0301,46.750
811060402,CHR BRYNILDSEN & CO AS,,3201,18.120
811102822,HAS INVESTMENT AS,,0301,68.209
811114642,JOHN DAHLE AS,,1124,68.209
811141402,CARLA STUDIO AS,,4001,47.710
811162582,AS GISLE GAARD,,3203,68.209
811167452,AS DEN NATIONALE SCENE,255,4601,90.012
811176702,SAS NORGE AS,,3209,51.100
811187372,MEDIACONNECT AS,35,0301,62.030
811235482,ARNE DULSRUD AS,,3411,47.710
811251682,DYSTHEDESIGN AS,,3201,74.101
811280852,HOVLAND TREVAREFABRIKK AS,21,1101,16.232
811320862,KLINGVIG AS,,3240,68.209
811349372,EIVIND EIVINDSON AS,,4223,68.209
811410012,PER ELLINGSEN AS,,1108,68.209
811413682,ELOPAK ASA,178,3203,17.120
811445312,TRYGVE M ENGEBY AS,,0301,46.694
811451002,TEATERGATEN 16 AS,,0301,68.320
811480282,Edv Eriksen AS Stilmøbelverksted,,5001,31.090
811489972,HARALDSGATEN 168 AS,,1106,68.209
811544922,KRISTINA THOMASSEN,,3214,85.599
811546402,DELA AS,,5037,68.100
811546712,LENDING FISKERI AS,,4636,03.111
811546852,SAFEBASE AS,24,5001,62.020
811547042,ARNT-LENNART MARTINSEN,,1868,03.111
811548022,FRØY REDERI AS,134,5014,50.202
811548472,EDEFICE AS,,5038,68.100
811548642,BUSY BUSY BIRD AS,,1103,70.220
811548812,RICH BAR HOLDING AS,,3105,56.102
811549312,STORE SKO AS,,0301,47.721
811550582,CAMPUS 4 AS,,3209,68.209
811551252,DENTSIGN AS,,3312,32.500
811551422,LINK ARKITEKTUR AB,,,
811551902,GEWAN AL MOUSA,,3442,86.211
811552372,SAMEIET JUST BROCHSGATE 12 - HAMAR,,3403,97.000
811554642,NORDHAGEN EIENDOM AS,,3220,00.000
811555312,HALDEN JEGER- OG VILLMARKSKLUBB,,3101,94.991
811555622,AUDUN BREINES MEDIA,,1870,59.110
811555762,ØYVIND ONSØYEN,,5028,01.110
811556092,TOINI CHRISTIN GRANUM,,3407,02.200
811556912,BØRØYA HYTTEFORENING,,5037,94.991
811557552,PROHANDEL AS,,3909,46.620
811557722,SANDSVÆRVEIEN AUTOSENTER AS,6,3303,47.300
811560472,DRIVENES OG HONNEMYR MASKIN DA,,4223,02.400
811560782,CLAVIER CLASSICS,,3301,90.011
811561592,INGRID ESKELAND,,4614,88.991
811561622,SJAMANISTISK FORBUND INNLANDET,,3451,94.910
811561762,MOY SERVICE,,5501,77.320
811561932,BRÅTABERGET HYTTEEIERFORENING,,,94.991
811563382,AKA TELECOM AS,,5001,62.020
811563552,STANDART BYGG & PLATT AB,,,
811563722,HAUGLANDSHELLA BYGG AS,,4627,41.109
811564222,TORGHALLEN BODØ AS,,1804,68.320
811565032,BORGEN GRUPPEN AS,,0301,68.209
811565652,BR TRANSPORT GUNA UMACHANDRAN,,3222,81.210
811566462,JAKOBSNES IDRETTSLAG,,5605,93.120
